sample1,,sample2,,sample3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
631.0176392,0.007628599647,631.0176392,0.007509169169,631.0176392,0.007581708953,
629.986145,0.007614189293,629.986145,0.007509748917,629.986145,0.00728591159,
628.9911499,0.007365864702,628.9911499,0.007276040036,628.9911499,0.00737592252,
627.9959106,0.007223186083,627.9959106,0.007094921079,627.9959106,0.007291071117,
627.0003662,0.007168496493,627.0003662,0.007223817986,627.0003662,0.00713033881,
626.0046387,0.006930920761,626.0046387,0.007041562814,626.0046387,0.007073003333,
625.0085449,0.007021226455,625.0085449,0.007123339456,625.0085449,0.007092500106,
624.012207,0.006949885283,624.012207,0.007024173159,624.012207,0.006772241089,
623.015564,0.006923240609,623.015564,0.006764774211,623.015564,0.006831193808,
621.9817505,0.006856886204,621.9817505,0.006796326023,621.9817505,0.00683166692,
620.9845581,0.00683008926,620.9845581,0.006842895877,620.9845581,0.006737431046,
619.9871826,0.006445492152,619.9871826,0.006694316398,619.9871826,0.006741795223,
618.9893799,0.006804740522,618.9893799,0.006593697239,618.9893799,0.006490158848,
617.9914551,0.006518221926,617.9914551,0.006445019506,617.9914551,0.006623291876,
616.9931641,0.006319610402,616.9931641,0.006458655465,616.9931641,0.006427443121,
615.9946289,0.006259676535,615.9946289,0.006372065283,615.9946289,0.006452612113,
614.9957886,0.006345745176,614.9957886,0.00629221648,614.9957886,0.006132010836,
613.9967041,0.006094810087,613.9967041,0.006126681343,613.9967041,0.006149548572,
612.9974365,0.006066354457,612.9974365,0.006188381929,612.9974365,0.006147421896,
611.9976807,0.005980734713,611.9976807,0.006082183216,611.9976807,0.006034933962,
610.9979248,0.005953047425,610.9979248,0.006027453579,610.9979248,0.005888178945,
609.9976807,0.005949793383,609.9976807,0.006052021869,609.9976807,0.006147028413,
608.9973145,0.006117361132,608.9973145,0.006144875195,608.9973145,0.006148078479,
607.996582,0.006161836442,607.996582,0.005951813888,607.996582,0.005840425845,
