sample13,,sample14,,sample15,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
753.9852905,0.03657595813,753.9852905,0.03494495526,753.9852905,0.03423949704,
752.9934692,0.036399737,752.9934692,0.03492503613,752.9934692,0.03398936242,
752.0013428,0.03661423177,752.0013428,0.03485126421,752.0013428,0.03357828036,
751.0089111,0.03663577512,751.0089111,0.03466087952,751.0089111,0.03399860114,
750.0160522,0.03676524013,750.0160522,0.03490840271,750.0160522,0.03390404582,
748.9873657,0.03678707406,748.9873657,0.03493227437,748.9873657,0.03360118344,
747.9937744,0.03640688956,747.9937744,0.03470635787,747.9937744,0.03410048038,
746.9998779,0.03621376678,746.9998779,0.03456293046,746.9998779,0.0332868807,
746.0055542,0.0357882902,746.0055542,0.03430832177,746.0055542,0.03310849518,
745.0108643,0.03583472967,745.0108643,0.03367888927,745.0108643,0.03284513578,
744.0159302,0.03514632583,744.0159302,0.03345146775,744.0159302,0.03241809085,
742.9850464,0.03459390625,742.9850464,0.03292175382,742.9850464,0.0316760391,
741.9893799,0.0337292701,741.9893799,0.03242034838,741.9893799,0.0308789406,
740.9933472,0.0328386575,740.9933472,0.03148337081,740.9933472,0.03050175309,
739.9969482,0.03272886574,739.9969482,0.03094576113,739.9969482,0.02983879298,
739.0001831,0.03203733265,739.0001831,0.03048803471,739.0001831,0.02940209024,
738.0031128,0.03167080507,738.0031128,0.0298754219,738.0031128,0.0289804358,
737.0056763,0.03129473701,737.0056763,0.02938915417,737.0056763,0.02858059108,
736.0078735,0.03045357578,736.0078735,0.0290343184,736.0078735,0.02800014615,
735.0097656,0.0305042509,735.0097656,0.02869174443,735.0097656,0.02744193003,
734.0112305,0.02980812825,734.0112305,0.02813443355,734.0112305,0.02728905715,
733.0123901,0.02961412258,733.0123901,0.02792557888,733.0123901,0.02703592181,
732.0131836,0.02923817001,732.0131836,0.02781208046,732.0131836,0.02680377476,
731.0136719,0.02912114561,731.0136719,0.02743178234,731.0136719,0.02649850398,
730.013855,0.02898016013,730.013855,0.02703008056,730.013855,0.02641313523,
729.0136108,0.0285581965,729.0136108,0.02719267271,729.0136108,0.02615712769,
728.0130615,0.02861125208,728.0130615,0.02704057656,728.0130615,0.02642276324,
727.012146,0.02833551541,727.012146,0.02704914473,727.012146,0.02629744634,
726.0109253,0.02864600718,726.0109253,0.0273210872,726.0109253,0.02641855367,
725.0092773,0.0287610516,725.0092773,0.02714439295,725.0092773,0.02637575194,
724.0073853,0.02871660702,724.0073853,0.02708686143,724.0073853,0.0265287701,
723.0050659,0.02883673087,723.0050659,0.02742963098,723.0050659,0.02666282468,
722.0025635,0.02924010716,722.0025635,0.02776817419,722.0025635,0.02696336433,
720.9995117,0.02935716324,720.9995117,0.0281698145,720.9995117,0.02722128108,
719.9962158,0.02979945019,719.9962158,0.02872147411,719.9962158,0.02758804336,
718.9926147,0.03011504188,718.9926147,0.0288763456,718.9926147,0.02793485485,
717.9885864,0.03026075289,717.9885864,0.02935719118,717.9885864,0.02844942547,
716.984314,0.03063503839,716.984314,0.0299731791,716.984314,0.02884063125,
716.015564,0.03101776354,716.015564,0.03030938096,716.015564,0.02927923389,
715.0105591,0.03152091801,715.0105591,0.03086871281,715.0105591,0.02984256297,
714.005249,0.03196363151,714.005249,0.03132536635,714.005249,0.03039082699,
712.9995728,0.03312190622,712.9995728,0.03210703656,712.9995728,0.03117993847,
711.9935913,0.03354278952,711.9935913,0.03306156397,711.9935913,0.03182277828,
710.9873047,0.03428560495,710.9873047,0.03350559995,710.9873047,0.0324142687,
710.0165405,0.03472360224,710.0165405,0.03429641575,710.0165405,0.0331203118,
709.0095825,0.03546824306,709.0095825,0.03472393751,709.0095825,0.03377498686,
708.0021973,0.03600746021,708.0021973,0.03538058698,708.0021973,0.03420418128,
706.9946289,0.03675250337,706.9946289,0.03610278293,706.9946289,0.03511868045,
705.9866333,0.03747721389,705.9866333,0.03673909605,705.9866333,0.03591651842,
705.0142822,0.0381892249,705.0142822,0.03751861304,705.0142822,0.03659000993,
704.0055542,0.03907876834,704.0055542,0.03829873726,704.0055542,0.03721838072,
702.9966431,0.03969985992,702.9966431,0.03891200572,702.9966431,0.03783031926,
701.9873657,0.0404185988,701.9873657,0.03973761201,701.9873657,0.03889821842,
701.0137329,0.04135625437,701.0137329,0.04000331834,701.0137329,0.03947241232,
700.0037231,0.04201252013,700.0037231,0.0407910794,700.0037231,0.04013994709,
698.9934692,0.04291151091,698.9934692,0.04172512516,698.9934692,0.04098929092,
697.9829102,0.04365865514,697.9829102,0.0424920693,697.9829102,0.04195047542,
697.0079956,0.04414378107,697.0079956,0.04300058633,697.0079956,0.04260904342,
695.9967651,0.04491090775,695.9967651,0.04388180748,695.9967651,0.04287387803,
694.9851685,0.04530533776,694.9851685,0.04418427497,694.9851685,0.04368124157,
694.0093994,0.04590974003,694.0093994,0.04491684958,694.0093994,0.04418312758,
692.9971313,0.04654134437,692.9971313,0.04556337371,692.9971313,0.0449854359,
691.9846191,0.04707144573,691.9846191,0.0459122695,691.9846191,0.0454320088,
691.0078125,0.04789711908,691.0078125,0.04648038,691.0078125,0.04537424073,
689.9946289,0.0482212007,689.9946289,0.04734695703,689.9946289,0.04644180462,
689.017334,0.04886738956,689.017334,0.04747035727,689.017334,0.04686369374,
688.003418,0.04933392629,688.003418,0.04834637791,688.003418,0.04757258669,
686.9891968,0.04996011034,686.9891968,0.04864186794,686.9891968,0.04803501442,
686.0109863,0.05052345246,686.0109863,0.04942310974,686.0109863,0.04851226136,
684.9962158,0.05087557435,684.9962158,0.04956430197,684.9962158,0.04894103482,
684.017334,0.05152919888,684.017334,0.04978499189,684.017334,0.04936275259,
683.0018921,0.05187577754,683.0018921,0.05007951707,683.0018921,0.04957878217,
681.986084,0.05195133388,681.986084,0.05039362982,681.986084,0.04975219071,
681.0062866,0.0525714308,681.0062866,0.05101109669,681.0062866,0.05013506487,
679.9898682,0.05305334181,679.9898682,0.05120791122,679.9898682,0.05059903488,
679.0094604,0.05331771821,679.0094604,0.05148288608,679.0094604,0.05084018409,
677.9924316,0.05358826369,677.9924316,0.05179865658,677.9924316,0.05107599497,
